"county","center","phone","ages","capacity","city","addr1","addr2","zip","inspections"
"Hudson","Valerie Morris/C.A.S.P.E.R. Program- 11","201-915-6206","2½ to 13","121","Jersey City","886 Bergen Avenue",,"07306","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170100155.shtml)"
"Hudson","Valerie Morris/C.A.S.P.E.R. Program- 6","201-915-6206","2½ to 13","183","Jersey City","100 St. Paul's Avenue",,"07306","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170100152.shtml)"
"Hudson","Valerie Morris/C.A.S.P.E.R. Program- 16","201-915-6206","2½ to 13","251","Jersey City","96 Sussex Street",,"07302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170100159.shtml)"
"Hudson","Valerie Morris/C.A.S.P.E.R. Program- 26","201-915-6206","2½ to 13","144","Jersey City","164 Laidlaw Avenue",,"07306","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600204.shtml)"
"Passaic","The Garden Childcare Center 2 LLC","917-681-5254","2½ to 13","31","Clifton","105 1st Street",,"07011","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110300069.shtml)"
"Hudson","The Little Neighborhood Learning Center","201-998-7384","0 to 13","117","Kearny","429 Kearny Ave",,"07032","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09LIT0006.shtml)"
"Middlesex","Little Wonder World Preschool, LLC","732-416-6636","2½ to 6","33","Sayreville","388 Washington Road",,"08872","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/140700222.shtml)"
"Bergen","Kimber's Tots LLC","973-204-9556","2½ to 6","31","Wyckoff","475 Lafayette Ave",,"07481","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180300104.shtml)"
"Somerset","Inquisitive Minds STEAM Academy","732-873-2729","0 to 13","42","Somerset","1489 Hamilton Street",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180300113.shtml)"
"Essex","LaCasa de DonPedro HeadStart at St Francis","862-237-9260","2½ to 6","259","Newark","87-89 St. Francis Street",,"07105","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NEW0038.shtml)"
"Essex","LaCasa de DonPedro HS at 201 First St","862-237-9260","0 to 6","165","Newark","201 First Street",,"07107","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090100107.shtml)"
"Essex","LaCasa de DonPedro-HeadStart at Roseville Ave","862-237-9260","2½ to 6","113","Newark","168-174 Roseville Avenue",,"07107","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07AUD0001.shtml)"
"Essex","LaCasa de DonPedro Early Childhood Ctr. VIII","973-242-0696","2½ to 6","60","Newark","432-437 South 15th Street",,"07103","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07EDN0001.shtml)"
"Essex","LaCasa de DonPedro-Head Start","862-237-9380","2½ to 6","116","Newark","43-45 Elizabeth Avenue",,"07108","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07NEW0039.shtml)"
"Hudson","The Little Steppers Learning Center",,"0 to 13","28","Jersey City","429 Martin Luther King Drive",,"07305","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/161100193.shtml)"
"Cumberland","Boys & Girls Club of Vineland","856-676-4190","6 to 13","30","Vineland","560 Crystal Ave",,"08360","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600198.shtml)"
"Passaic","Haledon Public School - After Care Services Program","973-790-9000","2½ to 13","300","Haledon","91 Henry Street",,"07508","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600206.shtml)"
"Bergen","Kidville Closter","201-983-1551","0 to 6","39","Closter","53 Vervalen Street",,"07624","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600207.shtml)"
"Essex","St Joseph School","973-674-2326","2½ to 13","150","East Orange","115 Telford Street",,"07018","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800293.shtml)"
"Ocean","Lots 4 Tots","732-961-4401","0 to 6","82","Lakewood","763 River Avenue",,"08701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800310.shtml)"
"Ocean","Forest Daycare LLC","732-730-1926","0 to 6","60","Lakewood","440 Ninth Street / 825 Forest",,"08701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900177.shtml)"
"Middlesex","I Can Kids Child Child Care","732-662-9381","0 to 13","90","Edison","806 Route Us 1",,"08817","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100600115.shtml)"
"Warren","The Learning Experience","908-850-1222","0 to 13","173","Hackettstown","1885 Route 57","Suite 10","07840","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/21JAC0002.shtml)"
"Monmouth","Little Leapers Preschool","908-216-6839","2½ to 6","55","Marlboro","98 N. Main Street",,"07746","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180400224.shtml)"
"Passaic","Little Bees Educational Daycare Center 2","973-850-6317","0 to 13","30","Bloomingdale","47 Main Street",,"07403","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180500013.shtml)"
"Middlesex","MAARS Academy","609-642-8120","2½ to 13","25","Monroe Township","100 Overlook Drive Building A","Pondview Plaza","08831","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160900045.shtml)"
"Morris","Kiddie Academy of Montville","973-917-3220","0 to 6","170","Montville","350 Main Road",,"07045","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160900047.shtml)"
"Passaic","Allwood Play and Learn","973-779-4844","2½ to 13","60","Clifton","94 Chelsea Road",,"07012","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16ALL0001.shtml)"
"Essex","Language Rhythm Academy","973-743-4104","0 to 6","17","Bloomfield","36 Broughton Avenue",,"07003","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/101000129.shtml)"
"Camden","New Generation Kids Academy","856-534-6427","2½ to 13","24","Stratford","102 Berlin Road",,"08084","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/161100004.shtml)"
"Essex","Little Walkers' Child Care Center","973-763-3510","0 to 13","30","Newark","978-980 18th Avenue",,"07106","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170100186.shtml)"
"Mercer","Creative Connections Play School","609-466-0110","2½ to 6","14","Hopewell","80 West Broad Street",,"08525","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170400227.shtml)"
"Hudson","Prodigy Learning & Day Care Center","908-244-9523","0 to 6","100","Bayonne","333 Broadway",,"07002","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/09PRO0002.shtml)"
"Essex","Tiny Treasures A2Z, Inc.","973-680-1270","0 to 13","29","Bloomfield","365-369 Berkeley Avenue",,"07003","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07TIN0009.shtml)"
"Bergen","Gan Henel Early Learning","201-308-3042","0 to 6","51","Englewood","509 Engle Street",,"07631","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170500052.shtml)"
"Bergen","Little Footprints Infant Preschool","201-746-9118","0 to 6","30","Park Ridge","31 Storms Avenue",,"07656","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02SMA0004.shtml)"
"Union","Santa Fe Centers - Infant Toddler Center","908-655-1235","0 to 6","36","New Providence","1441 Springfield Ave",,"07974","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20SAN0002.shtml)"
"Union","Santa Fe Centers - PKC","908-464-3848","2½ to 13","80","New Providence","1496 Springfield Ave",,"07974","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/20SAN0003.shtml)"
"Bergen","The Montessori Learning Center of Park Ridge, LLC","201-349-0362","2½ to 6","30","Park Ridge","65 Pascack Road",,"07656","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02MON0002.shtml)"
"Essex","Little Explorers Early Learning Academy","862-250-5720","0 to 13","71","Livingston","346 E Mt Pleasant Avenue",,"07039","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170500073.shtml)"
"Middlesex","Montessori Connections",,"2½ to 6","87","Dayton","2245 Route 130 South","Suite 103","08810","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12MON0013.shtml)"
"Somerset","Montessori Kids Universe of Hillsborough","908-336-1211","0 to 13","94","Hillsborough","133 Stryker Lane",,"08844","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/161100166.shtml)"
"Middlesex","Kingdom Kidz of Piscataway, LLC","732-626-5959","0 to 13","167","Piscataway","600 Roosevelt Avenue",,"08854","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12EAR0006.shtml)"
"Warren","Shanda's Sunny Days on Main","908-852-5222","0 to 13","70","Hackettstown","178 Main Street",,"07840","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/21SUN0002.shtml)"
"Morris","Creative Learning Academy","973-584-2202","0 to 13","120","Succasunna","77 Sunset Strip",,"07876","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14MOR0008.shtml)"
"Morris","The Learning Experience","973-331-3215","0 to 6","175","Parsippany","1159 Parsippany Blvd",,"07054","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14LEA0007.shtml)"
"Hudson","Little Linguists","201-889-0089","0 to 6","21","Hoboken","739 Bloomfield St","Ground Floor","07030","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900147.shtml)"
"Mercer","The Learning Experience at Hopewell","609-737-2300","0 to 13","164","Pennington","795 Denow Road, Bldg. B",,"08534","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11LEA0004.shtml)"
"Bergen","God's Little Children Preschool","201-652-9726","2½ to 6","30","Paramus","634 Paramus Road",,"07652","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/121200592.shtml)"
"Bergen","Transformation Learning Center","201-933-2894","2½ to 13","34","Wood-Ridge","190 Valley Blvd",,"07075","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/161200026.shtml)"
"Gloucester","The Early Learning Academy","856-853-8822","0 to 13","150","Westville","20 Cobblestone Lane",,"08093","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/080300184.shtml)"
"Bergen","Hanna Preschool","201-461-2984","0 to 13","15","Palisades Park","342b Commercial Avenue",,"07650","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170100019.shtml)"
"Bergen","A Learning Adventure","862-247-8747","2½ to 6","25","Lodi","273 Garibaldi Avenue",,"07644","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160300210.shtml)"
"Bergen","Gan Aliza","201-724-8886","0 to 6","30","Teaneck","811 Palisades Avenue",,"07666","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/110800095.shtml)"
"Middlesex","All Cubs Caring Unique Beyond Services","646-225-8244","0 to 6","30","East Brunswick","150-D Tices Lane",,"08816","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600164.shtml)"
"Passaic","Al Hikmah Elementary School","973-790-4700","2½ to 13","55","Prospect Park","278 N 8th Street",,"07508","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800046.shtml)"
"Hudson","Mosdos of Greenville Day Care","201-686-1954","0 to 13","127","Jersey City","925 West Side Ave",,"07306","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800048.shtml)"
"Gloucester","The Growing Palace","302-293-7237","0 to 13","50","Sewell","672 Main Street",,"08080","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800057.shtml)"
"Union","Salta Preschool Corporation","732-371-2221","2½ to 13","50","Summit","587 Springfield Avenue",,"07901","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180500143.shtml)"
"Bergen","Little Explorers Learning Center II, Inc.","201-982-1042","2½ to 13","65","Bergenfield","58 James Street",,"07621","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160900119.shtml)"
"Middlesex","Tots & Blocks Nursery School","732-679-0088","2½ to 6","97","Old Bridge","2 Worth Place",,"08857","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12TOT0001.shtml)"
"Morris","Little Learners Budd Lake","973-691-9430","0 to 13","103","Budd Lake","30 Old Budd Lake Road",,"07828","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14LIT0011.shtml)"
"Monmouth","Lightbridge Academy of Manalapan","732-972-1400","0 to 13","171","Manalapan","357 Route 9 South",,"07726","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130200017.shtml)"
"Ocean","Kids World","732-886-5437","0 to 13","151","Lakewood","419 5th Street",,"08701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170200189.shtml)"
"Ocean","Kids World 2","732-886-5437","2½ to 6","78","Lakewood","612 Madison Avenue",,"08701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100180.shtml)"
"Morris","Learning Garden Academy of Montville, LLC","973-575-8500","0 to 13","120","Pine Brook","330 Changebridge Road",,"07058","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090304028.shtml)"
"Hudson","Wallace Temple Community Activity Resource Enrichment Site","551-206-1499","6 to 13","22","Bayonne","392 Avenue C",,"07002","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800153.shtml)"
"Bergen","Happy Times Day Care 3","201-615-9740","2½ to 6","25","Wallington","19 Main Avenue",,"07057","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/02STE0002.shtml)"
"Atlantic","Tiny Hands Learning Center Ventnor LLC","609-277-7225","0 to 13","60","Ventnor","5034 Wellington Avenue",,"08406","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/01SUN0001.shtml)"
"Warren","St. Anne's Center","908-454-2066","0 to 6","74","Phillipsburg","137-139 Roseberry Street",,"08865","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180500224.shtml)"
"Monmouth","Steps to Success VII","732-970-7979","0 to 13","159","Morganville","208 Commercial Court",,"07751","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170700110.shtml)"
"Middlesex","Children First Montessori School","732-940-1100","2½ to 13","53","North Brunswick","35 Lincoln Place",,"08902","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/100800055.shtml)"
"Essex","SMK, LLC DBA Lightbridge Academy","973-218-1800","0 to 13","146","Millburn","27 Bleeker Street",,"07041","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170400142.shtml)"
"Ocean","Tender Years Childcare Care Inc.","732-892-9638","0 to 6","95","Point Pleasant Boro","728 Beaver Dam Road",,"08742","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15TEN0001.shtml)"
"Bergen","Evelyn Street Day School","201-523-9555","0 to 6","120","Paramus","352 Evelyn Street",,"07652","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/141100057.shtml)"
"Essex","Milestones Children's Academy","973-227-9933","0 to 6","60","Fairfield","264 Passaic Avenue",,"07004","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07A-Z0001.shtml)"
"Hudson","Lightbridge Academy of Hoboken-Marshall","201-420-9100","0 to 13","148","Hoboken","100 Marshall St",,"07030","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180600023.shtml)"
"Camden","The Heights School","856-854-4487","0 to 6","104","Westmont","660 W. Cuthbert Boulevard",,"08108","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180600035.shtml)"
"Ocean","Peek-A-Boo Childcare II LLC","732-886-7335","0 to 13","383","Lakewood","601 Prospect Street",,"08701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170400197.shtml)"
"Somerset","Montgomery Montessori School","609-252-9696","0 to 13","120","Skillman","12 Vreeland Drive",,"08558","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/18NEW0004.shtml)"
"Ocean","Millie's Angels","732-942-0388","0 to 13","60","Jackson","2156 W. County Line Road",,"08527-2356","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15KIN0003.shtml)"
"Middlesex","The Goddard School","732-416-9987","0 to 13","135","Old Bridge","1480 Englishtown Road",,"08857","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/12GOD0009.shtml)"
"Morris","Little Duck Day School","973-822-8100","0 to 6","87","Florham Park","11 Hanover Road & 3 James Stre",,"07932","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14LIT0015.shtml)"
"Mercer","Kiel School","609-586-5518","2½ to 6","60","Hamilton Square","20 Zieglers Lane",,"08690","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/11KIE0001.shtml)"
"Middlesex","Savannah's Playhouse","732-485-6778","2½ to 13","47","Piscataway","550 Hoes Lane",,"08854","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/160900247.shtml)"
"Essex","Serenity Montessori Academy, LLC","973-239-3902","2½ to 6","48","Verona","19 Church Street",,"07044","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/07ROB0004.shtml)"
"Essex","Play, Learn and Grow Daycare LLC","973-693-0050","0 to 13","88","Newark","202-204 Clinton Ave",,"07108","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900041.shtml)"
"Burlington","LIFE / Four Corners Child Development Center","609-387-3878","2½ to 13","45","Burlington","201 Clarkson Street",,"08016","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900115.shtml)"
"Morris","Bridges to Learning at John Hill School","973-335-9700","6 to 13","109","Boonton","435 Lathrop Avenue",,"07005","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900117.shtml)"
"Morris","Bridges to Learning at School Street Elementary School","973-335-9700","2½ to 13","150","Boonton","730 Birch Street",,"07005","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900116.shtml)"
"Atlantic","Giggles and Scribbles IV Preschool Daycare LLC","609-645-3363","0 to 13","75","Absecon","515 Mill Road",,"08201","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/01ALL0005.shtml)"
"Passaic","The Learning Experience at North Haledon","201-739-2394","0 to 6","163","North Haledon","895 Belmont Avenue",,"07508","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900196.shtml)"
"Passaic","Dawn Treader Christian School","973-345-9830","6 to 13","127","Paterson","1 Market Street",,"07501","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000136.shtml)"
"Sussex","My Sunshine's Academy","973-702-8889","0 to 13","48","Sussex","70 -72 East Main Street",,"07461","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130800199.shtml)"
"Essex","My Little Playhouse Daycare Center LLC","973-751-6555","2½ to 13","56","Belleville","208 New Street",,"07109","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800230.shtml)"
"Morris","Small Society Academy, LLC","908-647-2908","0 to 6","90","Stirling","20 Bay Street",,"07980","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14SMA0001.shtml)"
"Morris","Morris School District - Hillcrest School","973-294-4385","6 to 13","71","Morristown","160 Hillcrest Avenue",,"07960","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100123.shtml)"
"Morris","Morris School District - Alexander Hamilton School","973-270-8537","6 to 13","97","Morristown","24 Mills Street",,"07962","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100121.shtml)"
"Morris","Morris School District - Woodland School","973-214-0725","6 to 13","151","Morristown","51 Johnston Drive",,"07960","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100128.shtml)"
"Morris","Morris School District - Alfred Vail School","973-224-9941","6 to 13","77","Morris Plains","125 Speedwell Avenue",,"07950","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100122.shtml)"
"Morris","Morris School District - Sussex Avenue School","973-224-5061","6 to 13","82","Morristown","125 Sussex Avenue",,"07962","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100126.shtml)"
"Morris","Morris School District - Thomas Jefferson School","973-270-8536","6 to 13","91","Morristown","101 James Street",,"07960","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100127.shtml)"
"Morris","Morris School District - Normandy Park School","973-294-4030","6 to 13","74","Morristown","10a Normandy Park",,"07960","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100125.shtml)"
"Morris","Precious Angels Childrens Academy, LLC","973-328-0199","0 to 13","58","Denville","3155 Route 10 East",,"07834","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14UNI0001.shtml)"
"Cape May","Sea The Future Learning Center, LLC","609-224-0347","2½ to 13","32","Palermo","901 S. Shore Road",,"08223","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/120400195.shtml)"
"Passaic","Tiny Stars Learning Center","973-562-0065","0 to 13","85","Clifton","303 Maplewood Avenue",,"07013","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16WEE0001.shtml)"
"Passaic","Education Plus LLC at Edward W Kilpatric School","973-714-1251","6 to 13","194","Paterson","295-315 Ellison St",,"07501","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600065.shtml)"
"Passaic","Certified Angels School 20 Achievement Center","973-295-0989","6 to 13","191","Passaic","19 Henry St",,"07055","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170600165.shtml)"
"Passaic","Certified Angels - School #11","973-295-0989","6 to 13","120","Passaic","390 Gregory Avenue",,"07055","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180300148.shtml)"
"Cape May","The Children's Place of Music and Learning, Inc.","609-398-4225","0 to 13","67","Ocean City","145-147 Haven Avenue",,"08226","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/05CHI0004.shtml)"
"Essex","Stepping Stones Child Development Centers","973-371-1133","2½ to 13","180","Irvington","602 Grove Street",,"07111","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/131100051.shtml)"
"Essex","Stepping Stones Child Development Centers","973-371-1133","2½ to 6","120","Irvington","97 Augusta Street",,"07111","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/071000194.shtml)"
"Union","Stepping Stones Child Development Centers III","973-375-5437","6 to 13","100","Hillside","1261 Liberty Avenue",,"07205","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100175.shtml)"
"Union","Stepping Stones Child Development Centers IV","973-375-5437","6 to 13","60","Hillside","614 Tillman Street",,"07205","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100176.shtml)"
"Union","Stepping Stones Child Development Centers VI","973-375-5437","6 to 13","60","Hillside","1530 Leslie Street",,"07205","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100184.shtml)"
"Union","Stepping Stones Child Development Center VII","973-375-5437","2½ to 13","150","Hillside","143 Coe Avenue",,"07205","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180100197.shtml)"
"Monmouth","Indelible Impressions Childrens Center","732-455-5170","0 to 6","30","Neptune","7 Atkins Avenue",,"07753","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/13JES0001.shtml)"
"Bergen","Bright Angels LLC DBA Tenafly TLE","201-954-5197","0 to 13","166","Tenafly","87 County Road",,"07670","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170700128.shtml)"
"Ocean","Kangaroo Kourt Preschool and Day Care","609-294-1802","0 to 13","30","Tuckerton","249 N. Green Street",,"08087","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/15KAN0001.shtml)"
"Somerset","Green Brook Education and Athletic Foundation Before and Aft","732-968-1051","6 to 13","41","Green Brook","132 Jefferson Avenue",,"08812","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800040.shtml)"
"Somerset","Green Brook Education and Athletic Foundation Before and Aft","732-968-1051","2½ to 13","128","Green Brook","105 Andrew Street",,"08812","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800039.shtml)"
"Essex","Destined for Greatness Martial Arts","973-372-3000","6 to 13","84","Irvington","2 Union Ave",,"07111","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800049.shtml)"
"Morris","Rising Star School LLC DBA Primrose School of Randolph","973-531-7743","0 to 13","194","Randolph","2a Middlebury Blvd",,"07869","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170800050.shtml)"
"Camden","One Step at a Time LLC","609-772-0276","0 to 13","119","Voorhees","219 S Burnt Mill Road",,"08043","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000278.shtml)"
"Bergen","Little Friends 2","973-432-4979","0 to 13","56","Rochelle Park","60-1 W Passaic Street",,"07662","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100091.shtml)"
"Essex","Global Leaders Academy","718-909-6989","6 to 13","72","Livingston","388 S Livingston Ave",,"07039","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100092.shtml)"
"Hudson","Learning Ladders NJ Inc","201-918-6643","0 to 13","105","Jersey City","160 Morgan Street",,"07302","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100161.shtml)"
"Burlington","Edgewater Park School District - Magowan School","609-877-2122","2½ to 13","125","Edgewater Park","25 Washington Avenue",,"08010","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171100249.shtml)"
"Camden","Clementon Community Ed","856-783-2300","6 to 13","175","Clementon","4 Audubon Avenue",,"08021","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200031.shtml)"
"Ocean","Learning Ladder Nursery & Preschool","516-582-7313","0 to 13","53","Manahawkin","333 Haywood Road","Building 2, Unit 1","08050","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/180200036.shtml)"
"Bergen","Francis Services LLC DBA Laugh N Learn LLC","201-401-6326","2½ to 6","15","Bogota","14 East Fort Lee",,"07603","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170500053.shtml)"
"Bergen","Lyndhurst Before and After Care - Columbus School","201-232-1059","2½ to 13","101","Lyndhurst","640 Lake Avenue",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900021.shtml)"
"Bergen","Lyndhurst Before and After Care - Washington School","201-259-0952","2½ to 13","83","Lyndhurst","709 Ridge Road",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900023.shtml)"
"Bergen","Lyndhurst Before and After Care - Roosevelt School","201-240-8605","2½ to 13","106","Lyndhurst","530 Stuyvesant Avenue",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900022.shtml)"
"Bergen","Lyndhurst Before and After Care - Franklin School","201-240-7162","6 to 13","45","Lyndhurst","360 Stuyvesant Avenue",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/190100100.shtml)"
"Bergen","Lyndhurst Before and After Care - Memorial Campus","201-438-6390","6 to 13","50","Lyndhurst","319 New York Avenue",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/190100106.shtml)"
"Bergen","Lyndhurst Before and After Care - Lincoln School","201-438-5683","6 to 13","25","Lyndhurst","281 Ridge Road",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/190100105.shtml)"
"Bergen","Lyndhurst Before and After Care - Jefferson School","201-896-2065","6 to 13","30","Lyndhurst","336 Lake Avenue",,"07071","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/190100104.shtml)"
"Morris","Rhyme and Reason","973-625-4455","2½ to 13","40","Denville","8 Myers Ave",,"07834","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/14RHY0001.shtml)"
"Ocean","Tiferes Bais Yaakov","732-746-0309","0 to 13","120","Lakewood","613 Oak Street",,"08701","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/170900145.shtml)"
"Monmouth","Shalom Torah Academy","732-536-0911","0 to 13","73","Morganville","70 Amboy Road",,"07751","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171000196.shtml)"
