"dcid","permit_number","program_name","facility_type","program_type","address","borough","zipcode","phone","age_range","capacity","administer_medication","bin","bbl","community_board","council_district","census_tract","nta_code","latitude","longitude"
"DC42886","106299","DOWNTOWN BROOKLYN CHILDCARE LLC","GCC","PRESCHOOL","180 LIVINGSTON STREET","BROOKLYN","11201","(845) 978-3845","2 YEARS - 5 YEARS","79","No","3000484","3001647501","302","33","003700","BK38","40.690044411028","-73.98683839769"
"DC42887","106298","DOWNTOWN BROOKLYN CHILDCARE LLC","GCC","INFANT TODDLER","180 LIVINGSTON ST","BROOKLYN","11201","(845) 978-3845","0 YEARS - 2 YEARS","76","No","3000484","3001647501","302","33","003700","BK38","40.690044411028","-73.98683839769"
"DC42901","106300","MERRYGOCHILD 52 INC.","GCC","PRESCHOOL","1122 52ND STREET","BROOKLYN","11219","(718) 678-0192","2 YEARS - 5 YEARS","24","No","3138612","3056610014","312","44","021800","BK88","40.635583254069","-73.997593219881"
"DC42910","106408","BRIGHT KIDZ CHILDCARE CORP.","GCC","PRESCHOOL","11 BAY 20 STREET","BROOKLYN","11214","(718) 666-3318","2 YEARS - 5 YEARS","124","No","3166699","3063710044","311","38","027800","BK28","40.605917638667","-74.001671029701"
"DC42927","N/A","ZETA CHARTER SCHOOLS","SBCC","PRESCHOOL","401 WEST  218 STREET","MANHATTAN","10034","(929) 220-2208","3 YEARS - 5 YEARS","NO DATA","No","1091720","1022147501","112","10","029900","MN01","40.870506720162","-73.912430325225"
"DC42941","106201","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","2901 WHITE PLAINS ROAD","BRONX","10467","(718) 653-3714","0 YEARS - 2 YEARS","30","No","2054713","2045420001","211","12","033600","BX07","40.86801790564","-73.86728188687"
"DC42942","106203","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","3942 WHITE PLAINS ROAD","BRONX","10466","(718) 653-3714","0 YEARS - 2 YEARS","40","No","2063371","2048370051","212","12","039600","BX44","40.88685026759","-73.86098012649"
"DC42943","106171","LITTLE STARS CHILDCARE PROGRAM IV LLC","GCC","INFANT TODDLER","2317 CAMBRELENG AVENUE","BRONX","10458","(917) 736-6737","0 YEARS - 2 YEARS","40","No","2129513","2030887501","206","15","039100","BX06","40.853175193686","-73.885924223087"
"DC42944","106202","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","2901 WHITE PLAINS ROAD","BRONX","10467","(718) 653-3714","2 YEARS - 5 YEARS","122","No","2054713","2045420001","211","12","033600","BX07","40.86801790564","-73.86728188687"
"DC42945","106205","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","1334 LOUIS NINE BOULEVARD","BRONX","10459","(718) 991-2119","0 YEARS - 2 YEARS","50","No","2118405","2029767501","203","17","012300","BX75","40.831528143485","-73.892335904079"
"DC42946","106172","LITTLE STARS CHILDCARE PROGRAM IV LLC","GCC","PRESCHOOL","2317 CAMBRELENG AVENUE","BRONX","10458","(917) 736-6737","2 YEARS - 5 YEARS","91","No","2129513","2030887501","206","15","039100","BX06","40.853175193686","-73.885924223087"
"DC42947","106207","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","950 WESTCHESTER AVENUE","BRONX","10459","(718) 991-5465","0 YEARS - 2 YEARS","50","Yes","2114693","2027037501","202","17","008700","BX33","40.82238084205","-73.896325192661"
"DC42948","106209","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","1362 JEROME AVENUE","BRONX","10452","(718) 653-3714","0 YEARS - 2 YEARS","30","No","2127533","2028410005","204","16","022101","BX63","40.839385759425","-73.918282833788"
"DC42949","106208","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","950 WESTCHESTER AVENUE","BRONX","10459","(718) 991-5465","2 YEARS - 5 YEARS","151","Yes","2114693","2027037501","202","17","008700","BX33","40.82238084205","-73.896325192661"
"DC42951","106325","Early Learning Center","GCC","PRESCHOOL","613 NEW LOTS AVENUE","BROOKLYN","11207","(929) 244-3116","2 YEARS - 5 YEARS","125","No","3090717","3040890025","305","42","112400","BK82","40.664720613779","-73.886561358595"
"DC42954","106538","All Souls School","GCC","INFANT TODDLER","1157 LEXINGTON AVENUE","MANHATTAN","10075","(212) 861-5232","0 YEARS - 2 YEARS","10","No","1047486","1015080053","108","04","014000","MN40","40.775369679148","-73.95857969352"
"DC42963","106223","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","844 DEKALB AVENUE","BROOKLYN","11221","(718) 574-3710","2 YEARS - 5 YEARS","83","No","3049690","3017820010","303","36","028100","BK35","40.692415781287","-73.942155393114"
"DC42964","106485","COLIN-NEWELL EARLY CHILDHOOD DEVELOPMENT CENTER","GCC","PRESCHOOL","107-65 MERRICK BOULEVARD","QUEENS","11433","(718) 523-1888","2 YEARS - 5 YEARS","73","No","4617729","4102440211","412","27","041400","QN01","40.698746460296","-73.787320098351"
"DC42965","106216","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","331 EAST 150 STREET","BRONX","10451","(718) 292-0812","2 YEARS - 5 YEARS","84","No","2001854","2024100056","201","17","006500","BX34","40.817470349365","-73.920199369129"
"DC42967","106204","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","3942 WHITE PLAINS ROAD","BRONX","10466","(718) 653-3714","2 YEARS - 5 YEARS","115","No","2063371","2048370051","212","12","039600","BX44","40.88685026759","-73.86098012649"
"DC42969","106222","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","844 DEKALB AVENUE","BROOKLYN","11221","(718) 574-3710","0 YEARS - 2 YEARS","50","No","3049690","3017820010","303","36","028100","BK35","40.692415781287","-73.942155393114"
"DC42970","106211","BEANSTALK CHILDCARE ACADEMY","GCC","PRESCHOOL","1778 SOUTHERN BOULEVARD","BRONX","10460","(718) 653-3714","2 YEARS - 5 YEARS","111","No","2119434","2029847501","203","15","016100","BX75","40.838297216962","-73.88718220268"
"DC42971","106217","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","331 EAST 150 STREET","BRONX","10451","(718) 292-0812","0 YEARS - 2 YEARS","49","No","2001854","2024100056","201","17","006500","BX34","40.817470349365","-73.920199369129"
"DC42972","106239","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","1362 JEROME AVENUE","BRONX","10452","(718) 653-3714","2 YEARS - 5 YEARS","129","No","2127533","2028410005","204","16","022101","BX63","40.839385759425","-73.918282833788"
"DC42973","106212","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","1778 SOUTHERN BOULEVARD","BRONX","10460","(718) 653-3714","0 YEARS - 2 YEARS","40","No","2119434","2029847501","203","15","016100","BX75","40.838297216962","-73.88718220268"
"DC42974","106213","BEANSTALK CHILD CARE ACADEMY","GCC","INFANT TODDLER","1465 WEBSTER AVENUE","BRONX","10456","(718) 681-3040","0 YEARS - 2 YEARS","40","No","2113137","2028870100","204","16","017702","BX14","40.838127691727","-73.906220928274"
"DC42976","106215","BEANSTALK CHILD CARE ACADEMY","GCC","PRESCHOOL","1465 WEBSTER AVENUE","BRONX","10456","(718) 653-3714","2 YEARS - 5 YEARS","116","No","2113137","2028870100","204","16","017702","BX14","40.838127691727","-73.906220928274"
"DC42997","106791","STAR A KIDZ M INC","GCC","INFANT TODDLER","98 FREEDOM PLACE SOUTH","MANHATTAN","10023","(516) 960-5050","0 YEARS - 2 YEARS","22","No","1088869","1011717511","107","06","015100","MN14","40.772571673009","-73.991168951113"
"DC43000","106176","THE WILLIAMSBURG DAYCARE","GCC","INFANT TODDLER","494 MARCY AVENUE","BROOKLYN","11206","(718) 842-8200","0 YEARS - 2 YEARS","75","No","3325586","3017190001","303","36","025500","BK75","40.698076341532","-73.949756266047"
"DC43006","106260","WEBBLE WOBBLE ACHIEVERS INC","GCC","INFANT TODDLER","406 SARATOGA AVENUE","BROOKLYN","11233","(646) 645-3344","0 YEARS - 2 YEARS","18","No","3394974","3014637501","316","41","036300","BK79","40.671943454771","-73.91692063181"
"DC43011","N/A","THE CALHOUN SCHOOL","SBCC","PRESCHOOL","325 WEST   85 STREET","MANHATTAN","10024","(212) 497-6500","3 YEARS - 5 YEARS","NO DATA","No","1033913","1012470023","107","06","017100","MN12","40.788539095292","-73.979155729163"
"DC43039","106436","KIDCO LTD","GCC","INFANT TODDLER","152 NORTH 5 STREET","BROOKLYN","11211","(718) 599-7300","0 YEARS - 2 YEARS","10","No","3062327","3023440008","301","34","055300","BK73","40.716436855994","-73.958475771866"
"DC43041","106233","Kiddies Daycare NY INC","GCC","INFANT TODDLER","34 UNION AVENUE","BROOKLYN","11206","(718) 504-0027","0 YEARS - 2 YEARS","36","No","3428595","3022490122","301","33","050700","BK75","40.700824083961","-73.950273523839"
"DC43043","106188","AVENUES NEW YORK LLC","GCC","INFANT TODDLER","259 10 AVENUE","MANHATTAN","10001","(212) 524-9000","0 YEARS - 2 YEARS","10","Yes","1012384","1006970031","104","03","009900","MN13","40.749057624404","-74.003183248261"
"DC43045","106189","AVENUES NEW YORK LLC","GCC","PRESCHOOL","259 10 AVENUE","MANHATTAN","10001","(646) 664-0822","2 YEARS - 5 YEARS","68","Yes","1012384","1006970031","104","03","009900","MN13","40.749057624404","-74.003183248261"
"DC43062","106264","GUMMY BEARS DAYCARE INC.","GCC","PRESCHOOL","714 BANNER AVENUE","BROOKLYN","11235","(718) 332-3974","2 YEARS - 5 YEARS","41","No","3196537","3072640045","313","48","036600","BK19","40.583365260231","-73.960816115196"
"DC43137","106528","ROCKEFELLER CHILD AND FAMILY CENTER","GCC","PRESCHOOL","1226 YORK AVENUE","MANHATTAN","10065","(212) 327-7071","2 YEARS - 5 YEARS","86","No","1089035","1014800010","108","05","011600","MN31","40.762866595925","-73.956638165646"
"DC43139","106527","ROCKEFELLER CHILD AND FAMILY CENTER","GCC","INFANT TODDLER","1194 YORK AVENUE","MANHATTAN","10065","(212) 327-7071","0 YEARS - 2 YEARS","44","No","1087131","1014800010","108","05","011600","MN31","40.761914424825","-73.957331874288"
"DC43160","106504","MAGIC MOMENTS BROOKLYN, LLC","GCC","INFANT TODDLER","1526 FULTON STREET","BROOKLYN","11216","(718) 874-9601","0 YEARS - 2 YEARS","46","No","3425135","3018640014","303","36","027100","BK61","40.679843487232","-73.939775982908"
"DC43162","106424","BAYBEE LOUNGE DAYCARE CORP.","GCC","PRESCHOOL","2789 ATLANTIC AVENUE","BROOKLYN","11207","(646) 541-7125","2 YEARS - 5 YEARS","40","No","3336137","3039460037","305","37","119800","BK82","40.676409830423","-73.891404788769"
"DC43176","106218","BRONX COMMUNITY COLLEGE ASSOCIATION, INC.","GCC","INFANT TODDLER","2010 SEDGWICK AVENUE","BRONX","10453","(718) 289-5335","0 YEARS - 2 YEARS","20","No","2116208","2032220062","205","14","024900","BX36","40.857521296285","-73.915964917962"
"DC43182","106573","Urban Concepts of New York Round the Clock Nursery, Inc","GCC","PRESCHOOL","620 WEST 153 STREET","MANHATTAN","10031","(646) 374-0017","2 YEARS - 5 YEARS","52","Yes","1091769","1020990017","109","07","023700","MN04","40.831827419948","-73.947660149543"
"DC43184","106788","Urban Concepts of New York Round the Clock Nursery, Inc","GCC","INFANT TODDLER","620 WEST 153 STREET","MANHATTAN","10031","(646) 374-0017","0 YEARS - 2 YEARS","19","No","1091769","1020990017","109","07","023700","MN04","40.831827419948","-73.947660149543"
"DC43192","106712","BUILDING BRILLIANCE DAY CARE II INC.","GCC","INFANT TODDLER","1-14 56 AVENUE","QUEENS","11101","(718) 750-1001","0 YEARS - 2 YEARS","10","No","4619856","4000067503","402","26","000100","QN31","40.739600814118","-73.96097287317"
"DC43210","106711","BUILDING BRILLIANCE DAY CARE II INC.","GCC","PRESCHOOL","1-14 56 AVENUE","QUEENS","11101","(718) 750-1001","2 YEARS - 5 YEARS","53","No","4619856","4000067503","402","26","000100","QN31","40.739600814118","-73.96097287317"
"DC43244","N/A","THE EVANGELICAL LUTHERAN CHURCH OF THE EPIPHANY OF BROOKLYN NY","SBCC","PRESCHOOL","716 LINCOLN PLACE","BROOKLYN","11216","(718) 773-7200","3 YEARS - 5 YEARS","NO DATA","No","3032611","3012610008","308","35","031702","BK61","40.670843849638","-73.952487727186"
"DC43252","106317","LITTLE MAVEN INC","GCC","INFANT TODDLER","5023 10 AVENUE","BROOKLYN","11219","(347) 232-3980","0 YEARS - 2 YEARS","24","No","3137927","3056460001","312","44","011400","BK88","40.638270419876","-73.999477549065"
"DC43257","106321","LITTLE STARS CHILDCARE PROGRAM VI LLC","GCC","INFANT TODDLER","3128 BAILEY AVENUE","BRONX","10463","(917) 736-6737","0 YEARS - 2 YEARS","15","No","2129659","2032610033","208","14","027700","BX28","40.87868843466","-73.901845765427"
"DC43258","106320","LITTLE STARS CHILDCARE PROGRAM VI LLC","GCC","PRESCHOOL","3128 BAILEY AVENUE","BRONX","10463","(917) 736-6737","2 YEARS - 5 YEARS","41","No","2129659","2032610033","208","14","027700","BX28","40.87868843466","-73.901845765427"
"DC43263","106266","KIDDIO DAYCARE INC.","GCC","INFANT TODDLER","4815 14 AVENUE","BROOKLYN","11219","(718) 799-4200","0 YEARS - 2 YEARS","40","No","3137492","3056367504","312","44","023400","BK88","40.634106102272","-73.989468769483"
"DC43271","N/A","SHAARE TORAH SCHOOL","SBCC","PRESCHOOL","1680 CONEY ISLAND AVENUE","BROOKLYN","11230","(718) 645-1196","3 YEARS - 5 YEARS","NO DATA","No","3173152","3065730025","312","44","045400","BK46","40.616476550258","-73.963616914324"
"DC43278","106790","ROOTS TO GROW","GCC","PRESCHOOL","250 UTICA AVENUE","BROOKLYN","11213","(516) 946-5523","2 YEARS - 5 YEARS","12","No","3398400","3013840051","308","35","035100","BK61","40.670094588119","-73.931010646976"
"DC43284","106265","KIDDIO DAYCARE INC.","GCC","PRESCHOOL","4815 14 AVENUE","BROOKLYN","11219","(718) 799-4200","2 YEARS - 5 YEARS","24","No","3137492","3056367504","312","44","023400","BK88","40.634106102272","-73.989468769483"
"DC43285","106273","NACHAS DAYCARE INC.","GCC","PRESCHOOL","2177 60 STREET","BROOKLYN","11204","(718) 517-8030","2 YEARS - 5 YEARS","91","No","3429049","3055157502","312","44","024600","BK88","40.617119963954","-73.979133823321"
"DC43287","106282","NACHAS DAYCARE INC.","GCC","INFANT TODDLER","2177 60 STREET","BROOKLYN","11204","(718) 517-8030","0 YEARS - 2 YEARS","130","No","3429049","3055157502","312","44","024600","BK88","40.617119963954","-73.979133823321"
"DC43297","106744","THE WEST SIDE MONTESSORI SCHOOL","GCC","PRESCHOOL","212 WEST 95 STREET","MANHATTAN","10025","(212) 662-0394","2 YEARS - 5 YEARS","48","No","1090708","1012427501","107","07","018300","MN12","40.793571286326","-73.971353204527"
"DC43298","106745","THE WEST SIDE MONTESSORI SCHOOL","GCC","INFANT TODDLER","212 WEST 95 STREET","MANHATTAN","10025","(212) 662-8000","0 YEARS - 2 YEARS","28","No","1090708","1012427501","107","07","018300","MN12","40.793571286326","-73.971353204527"
"DC433","4566","REDEEMER-ST. JOHN'S NURSERY SCHOOL","GCC","PRESCHOOL","939 83 STREET","BROOKLYN","11228","(718) 833-7789","2 YEARS - 5 YEARS","35","No","3330938","3060110040","310","47","014000","BK30","40.620312366169","-74.019635247699"
"DC43304","106418","KA of WSNY, LLC","GCC","PRESCHOOL","7-05 152 STREET","QUEENS","11357","(718) 747-5555","2 YEARS - 5 YEARS","183","No","4610229","4045310035","407","19","098700","QN49","40.794782466805","-73.810404589372"
"DC43329","106889","LUNA DAYCARE CENTER CORP.","GCC","PRESCHOOL","2067 ANTHONY AVENUE","BRONX","10457","(917) 224-1578","2 YEARS - 5 YEARS","12","No","2129658","2031560024","205","15","023502","BX41","40.852641169296","-73.902104852698"
"DC43331","106526","LUNA DAYCARE CENTER CORP.","GCC","INFANT TODDLER","2067 ANTHONY AVENUE","BRONX","10457","(917) 224-1578","0 YEARS - 2 YEARS","12","No","2129658","2031560024","205","15","023502","BX41","40.852641169296","-73.902104852698"
"DC43344","106640","NURTURY 58","GCC","INFANT TODDLER","5816 13 AVENUE","BROOKLYN","11219","(718) 724-3523","0 YEARS - 2 YEARS","20","No","3140724","3057040045","312","44","019200","BK88","40.62983567751","-73.997521374899"
"DC43345","N/A","Bais Chaya Esther","SBCC","PRESCHOOL","119 WEBSTER AVENUE","BROOKLYN","11230","(718) 252-2422","3 YEARS - 5 YEARS","NO DATA","No","3127666","3054160001","314","40","048000","BK42","40.630823848278","-73.975026039502"
"DC43351","N/A","UNCOMMON SCHOOLS, INC.","SBCC","PRESCHOOL","225 PATCHEN AVENUE","BROOKLYN","11233","(973) 493-2207","3 YEARS - 5 YEARS","NO DATA","No","3046965","3016730001","303","41","038300","BK35","40.683540989222","-73.926186856283"
"DC43353","106419","KA of WSNY, LLC","GCC","INFANT TODDLER","7-05 152 STREET","QUEENS","11357","(718) 747-5555","0 YEARS - 2 YEARS","46","No","4610229","4045310035","407","19","098700","QN49","40.794782466805","-73.810404589372"
"DC43374","106413","BAIS SIMCHA","GCC","INFANT TODDLER","1374 42 STREET","BROOKLYN","11219","(718) 400-2326","0 YEARS - 2 YEARS","25","No","3427374","3055997502","312","44","023200","BK88","40.63803083578","-73.986553242271"
"DC43377","106417","BAIS SIMCHA","GCC","PRESCHOOL","1374 42 STREET","BROOKLYN","11219","(718) 400-2326","2 YEARS - 5 YEARS","36","No","3427374","3055997502","312","44","023200","BK88","40.63803083578","-73.986553242271"
"DC43385","106509","Jolly Baby Center Inc.","GCC","INFANT TODDLER","34 FRANKLIN  AVENUE","BROOKLYN","11205","(718) 840-3335","0 YEARS - 2 YEARS","79","No","3054205","3018840053","303","33","123700","BK75","40.698148554758","-73.958764896044"
"DC43396","106561","Columbus Pre-School","GCC","PRESCHOOL","606 COLUMBUS AVENUE","MANHATTAN","10024","(212) 721-0090","2 YEARS - 5 YEARS","107","No","1032439","1012200029","107","06","017300","MN12","40.788660735263","-73.970593345403"
"DC43398","106518","Jolly Baby Center Inc.","GCC","PRESCHOOL","34 FRANKLIN AVENUE","BROOKLYN","11205","(718) 840-3335","2 YEARS - 5 YEARS","150","No","3054205","3018840053","303","33","123700","BK75","40.698148554758","-73.958764896044"
"DC43404","106552","CUDDLE COVE CHILD CARE LLC","GCC","INFANT TODDLER","1411 39 STREET","BROOKLYN","11218","(347) 967-9900","0 YEARS - 2 YEARS","96","No","3124991","3053470071","312","39","022800","BK88","40.639002103108","-73.983594859963"
"DC43407","106553","CUDDLE COVE CHILD CARE LLC","GCC","PRESCHOOL","1411 39 STREET","BROOKLYN","11218","(347) 967-9900","2 YEARS - 5 YEARS","12","No","3124991","3053470071","312","39","022800","BK88","40.639002103108","-73.983594859963"
"DC43413","106709","LITTLE SCHOLARS LEARNING CENTER VII","GCC","PRESCHOOL","600 6 AVENUE","MANHATTAN","10011","(212) 255-6911","2 YEARS - 5 YEARS","12","No","1015407","1008197502","105","03","005400","MN13","40.739511287295","-73.995251074624"
"DC43415","106669","LITTLE SCHOLARS LEARNING CENTER VII","GCC","INFANT TODDLER","600 6 AVENUE","MANHATTAN","10011","(212) 255-6911","0 YEARS - 2 YEARS","38","No","1015407","1008197502","105","03","005400","MN13","40.739511287295","-73.995251074624"
"DC43418","106563","THE INSPIRED COMMUNITY PROJECT, INC.","GCC","PRESCHOOL","3681 BRUCKNER BOULEVARD","BRONX","10461","(212) 904-0773","2 YEARS - 5 YEARS","50","No","2047464","2042390025","210","13","030000","BX10","40.85241858338","-73.827283273291"
"DC43427","106480","INNOVATION GARDEN LLC","GCC","PRESCHOOL","3950 BRONXWOOD AVENUE","BRONX","10466","(646) 851-5634","2 YEARS - 5 YEARS","18","No","2064389","2048600045","212","12","040400","BX44","40.885448549313","-73.854990424478"
"DC43451","106830","BUNNYHILL LIC LLC","GCC","PRESCHOOL","10-37 47 ROAD","QUEENS","11101","(718) 706-1109","2 YEARS - 5 YEARS","148","No","4000315","4000460014","402","26","000700","QN31","40.744617769678","-73.952449347789"
"DC43461","106506","WONDER YEARS DAYCARE, INC.","GCC","PRESCHOOL","9522 AVENUE A","BROOKLYN","11236","(718) 710-6727","2 YEARS - 5 YEARS","24","No","3105105","3047550048","317","42","092800","BK96","40.653644801858","-73.914269379694"
"DC43465","106446","Diversity Academy Child Care 3","GCC","PRESCHOOL","1141 CASTLETON AVENUE","STATEN ISLAND","10310","(718) 210-0123","2 YEARS - 5 YEARS","55","No","5132394","5001970125","501","49","013302","SI22","40.634295931634","-74.120300684778"
"DC43467","106726","DIVERSITY ACADEMY CHILD CARE 3","GCC","INFANT TODDLER","1141 CASTLETON AVENUE","STATEN ISLAND","10310","(917) 821-5048","0 YEARS - 2 YEARS","18","No","5132394","5001970125","501","49","013302","SI22","40.634295931634","-74.120300684778"
"DC43468","106501","NEW AMSTERDAM SCHOOL","GCC","INFANT TODDLER","62 AVENUE B","MANHATTAN","10009","(212) 533-1820","0 YEARS - 2 YEARS","10","No","1005026","1004000031","103","02","003200","MN22","40.7235080495","-73.982365386165"
"DC43479","106483","L & L Studio inc","GCC","INFANT TODDLER","810 FULTON STREET","BROOKLYN","11238","(917) 849-9959","0 YEARS - 2 YEARS","10","No","3426518","3020097501","302","35","019900","BK69","40.684134233464","-73.969045943934"
"DC43487","106703","WEEHIVE DAYCARE INC.","GCC","INFANT TODDLER","1267 57 STREET","BROOKLYN","11219","(347) 563-0695","0 YEARS - 2 YEARS","27","No","3140077","3056907503","312","44","021600","BK88","40.631048873374","-73.997604192193"
"DC435","1284","TINY TOTS PLAYHOUSE LLC","GCC","PRESCHOOL","243 88 STREET","BROOKLYN","11209","(718) 745-4509","2 YEARS - 5 YEARS","26","No","3153687","3060480049","310","47","006000","BK31","40.622370627818","-74.033000197265"
"DC43500","106636","LA MATERNELLE WEST55 LLC","GCC","INFANT TODDLER","400 WEST 55 STREET","MANHATTAN","10019","(929) 248-2933","0 YEARS - 2 YEARS","46","No","1026797","1010640036","104","03","013900","MN15","40.766782596466","-73.987093930902"
"DC43529","106779","NUR KIDS CENTER LLC","GCC","PRESCHOOL","2068 EAST 14 STREET","BROOKLYN","11229","(917) 907-4703","2 YEARS - 5 YEARS","76","No","3198028","3073180037","315","48","058200","BK25","40.599544601177","-73.957497253177"
"DC43566","106513","Diversity Academy Child Care 2","GCC","INFANT TODDLER","125 GREAVES LANE","STATEN ISLAND","10308","(718) 310-6088","0 YEARS - 2 YEARS","28","No","5151097","5046450425","503","51","014606","SI54","40.553662373681","-74.143952047849"
"DC43569","N/A","CANARSIE CHILDREN FIRST ACADEMY","SBCC","PRESCHOOL","235 CYPRESS AVENUE","BRONX","10454","(718) 676-6260","3 YEARS - 5 YEARS","NO DATA","No","2003611","2025500038","201","08","002701","BX39","40.805329109087","-73.914672882645"
"DC43584","106572","CUDDLESOME INC.","GCC","INFANT TODDLER","5507 11 AVENUE","BROOKLYN","11219","(347) 628-8847","0 YEARS - 2 YEARS","29","No","3139663","3056820007","312","44","021600","BK88","40.634205398516","-74.000118895356"
"DC43586","106560","CUDDLESOME INC.","GCC","PRESCHOOL","5507 11 AVENUE","BROOKLYN","11219","(347) 628-8847","2 YEARS - 5 YEARS","21","No","3139663","3056820007","312","44","021600","BK88","40.634205398516","-74.000118895356"
"DC43634","106690","AGUDATH CHASIDEI SPINKA","GCC","INFANT TODDLER","1565 59 STREET","BROOKLYN","11219","(718) 851-1600","0 YEARS - 2 YEARS","19","No","3131363","3055020050","312","44","024200","BK88","40.625979020081","-73.992229528749"
"DC43635","106423","Agudath Chasidei Spinka","GCC","PRESCHOOL","1565 59TH ST","BROOKLYN","11219","(718) 851-1600","2 YEARS - 5 YEARS","38","No","3131363","3055020050","312","44","024200","BK88","40.625979020081","-73.992229528749"
"DC43659","106550","COCOON DAYCARE INC.","GCC","PRESCHOOL","1222 49 STREET","BROOKLYN","11219","(718) 517-8282","2 YEARS - 5 YEARS","27","No","3137714","3056410016","312","44","022000","BK88","40.63593169058","-73.993647940727"
"DC43660","106549","COCOON DAYCARE INC.","GCC","INFANT TODDLER","1222 49 STREET","BROOKLYN","11219","(718) 517-8282","0 YEARS - 2 YEARS","23","No","3137714","3056410016","312","44","022000","BK88","40.63593169058","-73.993647940727"
"DC43689","106499","Little Legacy Village LLC","GCC","PRESCHOOL","2750 FREDERICK DOUGLASS BOULEVARD","MANHATTAN","10039","(917) 803-3637","2 YEARS - 5 YEARS","15","No",,,,,,,,
"DC43714","106524","VIVVI 11, LLC","GCC","INFANT TODDLER","25 TUDOR CITY PLACE","MANHATTAN","10017","(646) 829-8988","0 YEARS - 2 YEARS","50","No","1038655","1013340022","106","04","008800","MN19","40.748537937608","-73.970798797664"
"DC43715","106562","LIL INVENTORS WALLACE AVENUE LLC","GCC","INFANT TODDLER","2100 WALLACE AVENUE","BRONX","10462","(718) 502-6455","0 YEARS - 2 YEARS","10","No","2093291","2042920014","211","13","022800","BX49","40.853256629249","-73.864838928078"
"DC43719","106525","VIVVI 11, LLC","GCC","PRESCHOOL","25 TUDOR CITY PLACE","MANHATTAN","10017","(212) 681-4671","2 YEARS - 5 YEARS","57","No","1038655","1013340022","106","04","008800","MN19","40.748537937608","-73.970798797664"
"DC43764","106532","VIVVI 12, LLC","GCC","INFANT TODDLER","1501 LEXINGTON AVENUE","MANHATTAN","10029","(267) 879-5589","0 YEARS - 2 YEARS","36","No","1087218","1016240045","111","08","015802","MN33","40.786427835771","-73.950498236013"
"DC43765","106533","VIVVI 12 , LLC","GCC","PRESCHOOL","1501 LEXINGTON AVENUE","MANHATTAN","10029","(267) 879-5589","2 YEARS - 5 YEARS","55","No","1087218","1016240045","111","08","015802","MN33","40.786427835771","-73.950498236013"
"DC43772","106667","THE LEARNING EXPERIENCE","GCC","INFANT TODDLER","8902 5 AVENUE","BROOKLYN","11209","(718) 921-8750","0 YEARS - 2 YEARS","16","No","3154221","3060660026","310","47","016000","BK31","40.619651925758","-74.027804618024"
"DC43781","106736","THE LEARNING EXPERIENCE","GCC","PRESCHOOL","8902 5 AVENUE","BROOKLYN","11209","(718) 921-8750","2 YEARS - 5 YEARS","63","No","3154221","3060660026","310","47","016000","BK31","40.619651925758","-74.027804618024"
"DC43782","106517","YESHIVA NACHLAS TZVI D'KRULA","GCC","PRESCHOOL","801 KENT AVENUE","BROOKLYN","11205","(718) 254-9005","2 YEARS - 5 YEARS","71","No","3054201","3018840010","303","33","123700","BK75","40.69690281743","-73.95986198201"
"DC43784","106503","SKOLYE INC.","GCC","INFANT TODDLER","927 MCDONALD AVENUE","BROOKLYN","11218","(718) 954-2136","0 YEARS - 2 YEARS","70","No","3127549","3054080055","314","40","047800","BK88","40.631505027548","-73.977299114671"
"DC43788","106502","SKOLYE INC.","GCC","PRESCHOOL","927 MCDONALD AVENUE","BROOKLYN","11218","(718) 954-2136","2 YEARS - 5 YEARS","28","No","3127549","3054080055","314","40","047800","BK88","40.631505027548","-73.977299114671"
"DC43796","106777","HEARTS AND MINDS DAYCARE LLC","GCC","PRESCHOOL","153-11 90 AVENUE","QUEENS","11432","(929) 719-2869","2 YEARS - 5 YEARS","23","No","4620246","4097550061","412","27","024000","QN61","40.704340900655","-73.803009380065"
"DC43800","106716","LITTLE ROSES DC LLC","GCC","INFANT TODDLER","948 MCDONALD AVENUE","BROOKLYN","11218","(347) 520-7108","0 YEARS - 2 YEARS","73","No","3337668","3054070082","312","44","047800","BK88","40.631170155467","-73.977255996316"
"DC43816","106445","The Trustees of the Congregation Beth Elohim","GCC","PRESCHOOL","17 EASTERN PARKWAY","BROOKLYN","11238","(718) 499-6208","2 YEARS - 5 YEARS","65","No","3259310","3011720006","308","35","020700","BK64","40.6730560511","-73.968070546223"
